ARTWORK,DATE,SOURCE TITLE,SOURCE IMAGE
"<src: https://static.jojowiki.com/images/thumb/7/73/latest/20201016230005/PB_2007_Omnibus_Ch._1_Color_page_4.png/407px-PB_2007_Omnibus_Ch._1_Color_page_4.png?20201016230005
alt: File:PB 2007 Omnibus Ch. 1 Color page 4.png>
","December 2, 1986",Weekly Shonen Jump 1987 Issue #1-2 (Color Page),"<src: https://static.jojowiki.com/images/thumb/7/73/latest/20201016230005/PB_2007_Omnibus_Ch._1_Color_page_4.png/407px-PB_2007_Omnibus_Ch._1_Color_page_4.png?20201016230005
alt: File:PB 2007 Omnibus Ch. 1 Color page 4.png>
"
"<src: https://static.jojowiki.com/images/thumb/1/1c/latest/20201016230007/PB_2007_Omnibus_Ch._1_Color_page_5.png/399px-PB_2007_Omnibus_Ch._1_Color_page_5.png?20201016230007
alt: File:PB 2007 Omnibus Ch. 1 Color page 5.png>
","December 2, 1986",Weekly Shonen Jump 1987 Issue #1-2 (Color Page),"<src: https://static.jojowiki.com/images/thumb/1/1c/latest/20201016230007/PB_2007_Omnibus_Ch._1_Color_page_5.png/399px-PB_2007_Omnibus_Ch._1_Color_page_5.png?20201016230007
alt: File:PB 2007 Omnibus Ch. 1 Color page 5.png>
"
"<src: https://static.jojowiki.com/images/thumb/2/23/latest/20201016230009/PB_2007_Omnibus_Ch._1_Color_page_6.png/397px-PB_2007_Omnibus_Ch._1_Color_page_6.png?20201016230009
alt: File:PB 2007 Omnibus Ch. 1 Color page 6.png>
","December 2, 1986",Weekly Shonen Jump 1987 Issue #1-2 (Color Page),"<src: https://static.jojowiki.com/images/thumb/2/23/latest/20201016230009/PB_2007_Omnibus_Ch._1_Color_page_6.png/397px-PB_2007_Omnibus_Ch._1_Color_page_6.png?20201016230009
alt: File:PB 2007 Omnibus Ch. 1 Color page 6.png>
"
"<src: https://static.jojowiki.com/images/thumb/b/b8/latest/20200116204737/WSJ1987No1-2NextIssue.png/528px-WSJ1987No1-2NextIssue.png?20200116204737
alt: File:WSJ1987No1-2NextIssue.png>
","December 2, 1986",Weekly Shonen Jump 1987 Issue #1-2 (Next Issue Illustration),"<src: https://static.jojowiki.com/images/b/b1/latest/20210911201403/WSJ1987No1-2.jpg?20210911201403
alt: File:WSJ1987No1-2.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/0/0e/latest/20221111222542/DIO_WSJ_Next_issue.jpg/495px-DIO_WSJ_Next_issue.jpg?20221111222542
alt: File:DIO WSJ Next issue.jpg>
","December 2, 1986",Weekly Shonen Jump 1987 Issue #1-2 (Next Issue Illustration),"<src: https://static.jojowiki.com/images/thumb/1/1c/latest/20191015214456/JonathanDio_WSJ_next_issue.png/513px-JonathanDio_WSJ_next_issue.png?20191015214456
alt: File:JonathanDio WSJ next issue.png>
"
"<src: https://static.jojowiki.com/images/thumb/f/f3/latest/20200116204906/JumpComics2C2.png/800px-JumpComics2C2.png?20200116204906
alt: File:JumpComics2C2.png>
","December 9, 1986",Weekly Shonen Jump 1987 Issue #3-4 (Next Issue Illustration),"<src: https://static.jojowiki.com/images/thumb/f/f7/latest/20220320055627/WSJ1987No3-4.png/800px-WSJ1987No3-4.png?20220320055627
alt: File:WSJ1987No3-4.png>
"
"<src: https://static.jojowiki.com/images/thumb/b/bf/latest/20230511175708/Jonathan_Vol1Afterword.png/503px-Jonathan_Vol1Afterword.png?20230511175708
alt: File:Jonathan Vol1Afterword.png>
<src: https://static.jojowiki.com/images/thumb/a/a2/latest/20210328205008/WSJ_-5_1987_JonathanCover-illus.png/537px-WSJ_-5_1987_JonathanCover-illus.png?20210328205008
alt: File:WSJ -5 1987 JonathanCover-illus.png>
","December 19, 1986",Weekly Shonen Jump 1987 Issue #5 (Cover),"<src: https://static.jojowiki.com/images/thumb/b/be/latest/20200508202430/Weekly_Jump_Jan_15%2C_1987.png/425px-Weekly_Jump_Jan_15%2C_1987.png?20200508202430
alt: File:Weekly Jump Jan 15, 1987.png>
"
"<src: https://static.jojowiki.com/images/c/c6/latest/20191015212905/JumpComics1C2.png?20191015212905
alt: File:JumpComics1C2.png>
","December 19, 1986",Weekly Shonen Jump 1987 Issue #5 (Sticker Illustration),"<src: https://static.jojowiki.com/images/thumb/1/1b/latest/20220324182629/WSJ_Poster_Dec_19_1986.png/800px-WSJ_Poster_Dec_19_1986.png?20220324182629
alt: File:WSJ Poster Dec 19 1986.png>
"
"<src: https://static.jojowiki.com/images/9/91/latest/20220409211213/WSJ_Jan_6_1987_Print.jpg?20220409211213
alt: File:WSJ Jan 6 1987 Print.jpg>
<src: https://static.jojowiki.com/images/thumb/4/4a/latest/20221123082547/WSJ_Jan_6_1987_Print_2.jpg/628px-WSJ_Jan_6_1987_Print_2.jpg?20221123082547
alt: File:WSJ Jan 6 1987 Print 2.jpg>
","January 6, 1987",Weekly Shonen Jump 1987 Issue #5(Jonathan and Dio Autograph Print),"<src: https://static.jojowiki.com/images/thumb/0/0c/latest/20191015213919/Weekly_Jump_January_22_1987.jpg/422px-Weekly_Jump_January_22_1987.jpg?20191015213919
alt: File:Weekly Jump January 22 1987.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/d/de/latest/20210929204701/GIExtra.jpg/568px-GIExtra.jpg?20210929204701
alt: File:GIExtra.jpg>
","February 10, 1987",Jump Comics Gorgeous Irene Volume 1 (Inside Illustration),"<src: https://static.jojowiki.com/images/thumb/b/b8/latest/20191015213002/Gorgeous_Irene.png/383px-Gorgeous_Irene.png?20191015213002
alt: File:Gorgeous Irene.png>
"
